"Treat" "tot04" "tot08" "tot12" "adt04" "adt08" "adt12" "length" "width" "speed" "shoulder" "driveways" "intersections" "curves" "curvature"
"156" 0 1 0 3 6385 4919 4994.66666666667 0.701 ">= 24" "Low" "<= 3" "> 10" "None" ">= 1" 6.13104
"157" 0 0 0 0 6385 4919 4994.66666666667 0.43 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" ">= 1" 7.71355
"158" 0 0 0 0 3544 3601 3745.66666666667 0.328 ">= 24" "High" "> 6" "None" "None" "None" 0
"159" 0 0 0 0 3544 3601 3745.66666666667 0.444 ">= 24" "High" "> 6" "> 0 and <= 10" "None" "None" 0
"160" 0 0 0 0 5347 5329 4727 0.368 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"161" 0 1 3 0 5347 5329 4727 0.449 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"162" 0 0 1 0 5629 4759 4685 0.493 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 1.03336
"163" 0 0 0 1 5629 4759 4685 0.682 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 2.39631
"164" 0 1 0 2 5629 4759 4685 0.459 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"165" 0 1 0 1 5629 4759 4685 0.307 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"166" 0 1 1 0 5629 4759 4685 0.406 "> 20 and < 24" "High" "> 3 and <= 6" "None" "None" "None" 0
"167" 0 0 1 0 4655 5806 5182.66666666667 0.6 "> 20 and < 24" "High" "<= 3" "> 10" ">= 1" "None" 0
"168" 0 0 0 0 1218 1394 1398.33333333333 0.428 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"169" 0 0 0 0 1218 1394 1398.33333333333 0.705 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"170" 0 0 0 0 1218 1394 1398.33333333333 0.386 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"171" 0 0 2 2 7632 7278 7129.16666666667 0.468 ">= 24" "High" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 8.50936
"172" 0 0 2 1 7894 8077 7588.33333333333 0.55 ">= 24" "High" "<= 3" "> 10" "None" ">= 1" 10.9743
"173" 0 1 0 2 7894 8077 7588.33333333333 0.453 "> 20 and < 24" "High" "> 3 and <= 6" "> 10" "None" ">= 1" 11.2771
"174" 0 0 0 0 3900 3864 5669 0.172 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"175" 0 0 0 0 7413 7680 7066.83333333333 0.44 "<= 20" "High" "<= 3" "> 10" ">= 1" "None" 0
"176" 0 0 2 0 5141 4429 4912.16666666667 0.501 "<= 20" "Low" "<= 3" "> 10" ">= 1" "None" 0
"177" 0 1 1 3 5166 3541 3734 0.46 "<= 20" "Low" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 27.0588
"178" 0 0 0 1 5000 4397 3758.5 0.628 "<= 20" "High" "<= 3" "> 10" ">= 1" ">= 1" 7.15829
"179" 0 1 1 2 1435 1272 1260.33333333333 0.646 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 6.76937
"180" 0 0 1 0 1435 1272 1260.33333333333 0.563 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 12.1133
"181" 0 0 0 0 1435 1272 1260.33333333333 0.427 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"182" 0 0 0 0 3700 4219 3381.33333333333 0.513 "> 20 and < 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 7.71329
"183" 0 0 0 1 1308 1356 872.666666666667 0.573 "<= 20" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 27.6721
"184" 0 0 0 1 5607 4840 4609.33333333333 0.623 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"185" 0 0 0 0 5320 5497 5898.66666666667 0.124 ">= 24" "High" "<= 3" "> 10" ">= 1" "None" 0
"186" 0 1 3 0 1328 1377 1689.33333333333 0.447 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 7.73839
"187" 0 1 1 0 1464 1373 1238.66666666667 0.519 "<= 20" "Low" "<= 3" "> 10" ">= 1" ">= 1" 3.74999
"188" 0 0 0 1 1464 1373 1238.66666666667 0.462 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 6.23416
"189" 0 0 0 1 1464 1373 1238.66666666667 0.483 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 3.98421
"190" 0 1 1 0 1464 1373 1238.66666666667 0.554 "<= 20" "Low" "<= 3" "> 10" "None" ">= 1" 7.18152
"191" 0 0 1 0 1464 1373 1238.66666666667 0.49 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 1.88342
"192" 0 0 0 0 1464 1373 1238.66666666667 0.562 "<= 20" "High" "<= 3" "> 10" "None" "None" 0
"193" 0 0 2 0 1464 1373 1238.66666666667 0.243 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 8.07937
"194" 0 0 0 0 2075 1880 1743 0.405 "<= 20" "Low" "<= 3" "> 10" ">= 1" ">= 1" 6.01857
"195" 0 0 1 2 2863 2957 2509.33333333333 0.445 "<= 20" "Low" "<= 3" "> 10" "None" "None" 0
"196" 0 0 0 0 7000 6595 6449.66666666667 0.67 ">= 24" "High" "> 3 and <= 6" "> 10" "None" "None" 0
"197" 0 1 0 0 7000 6595 6449.66666666667 0.666 ">= 24" "High" "> 3 and <= 6" "> 10" "None" "None" 0
"198" 0 1 1 3 7000 6595 6449.66666666667 0.602 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
